itemId,account,h,w,l,weightG,status,error
MLB4430105766,JOTABÊ AUTOPEÇAS,10,10,50,800,ok,
MLB3591058917,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB3590980065,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3593634493,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB3593846243,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4436532036,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB3590086263,JOTABÊ AUTOPEÇAS,30,70,100,18000,ok,
MLB4437914618,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3593727551,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB3590012647,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3589968451,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3590104023,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3593814515,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4436499294,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB3590955301,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB4444474464,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4445581070,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4445775134,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4445982786,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4445743446,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3597389875,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4445791450,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4445903846,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4444455542,JOTABÊ AUTOPEÇAS,15,15,15,600,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
MLB3596852321,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4444428200,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4443902384,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4444390332,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4440148530,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB3597429367,JOTABÊ AUTOPEÇAS,15,15,15,600,error,Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_weight] are too small for the product dimensions)
MLB3597773589,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4445632798,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB3599247687,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3598257543,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4449644574,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4450909690,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB3599234961,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4449639102,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4450923166,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4450941522,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4449532020,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3598265373,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4450890536,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4450898172,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4450903932,JOTABÊ AUTOPEÇAS,10,10,10,300,ok,
MLB4455002568,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3598487219,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3598368547,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3598721603,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3600470645,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4457406282,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4457633632,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB3603324163,JOTABÊ AUTOPEÇAS,30,40,50,5000,ok,
MLB3600789539,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4459800268,JOTABÊ AUTOPEÇAS,25,25,25,2000,ok,
MLB4454612088,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB3600868063,JOTABÊ AUTOPEÇAS,15,15,15,600,ok,
MLB4457555092,JOTABÊ AUTOPEÇAS,30,50,80,12000,ok,
MLB4454723254,JOTABÊ AUTOPEÇAS,10,10,50,800,ok,
